Conference,School Name,City,State
OAC,Marietta,Marietta,OH
OAC,Mount Union,Alliance,OH
OAC,Muskingum,New Concord,OH
OAC,Ohio Northern,Ada,OH
OAC,Otterbein,Westerville,OH
OAC,Wilmington (OH),Wilmington,OH
ODAC,Bridgewater (VA),Bridgewater,VA
ODAC,Eastern Mennonite,Harrisonburg,VA
ODAC,Guilford,Greensboro,NC
ODAC,Hampden-Sydney,Hampden-Sydney,VA
ODAC,Lynchburg,Lynchburg,VA
ODAC,Randolph,Lynchburg,VA
ODAC,Randolph-Macon,Ashland,VA
ODAC,Roanoke,Salem,VA
ODAC,Shenandoah,Winchester,VA
ODAC,Virginia Wesleyan,Virginia Beach,VA
ODAC,Washington & Lee,Lexington,VA
PAC,Bethany (WV),Bethany,WV
PAC,Chatham,Pittsburgh,PA
PAC,Geneva,Beaver Falls,PA
PAC,Grove City,Grove City,PA
PAC,St. Vincent,Latrobe,PA
PAC,Thiel,Greenville,PA
PAC,Washington & Jefferson,Washington,PA
PAC,Waynesburg,Waynesburg,PA
PAC,Westminster (PA),New Wilmington,PA
PAC,Wheeling Jesuit,Wheeling,WV
SAA,Berry,Mount Berry,GA
SAA,Centre,Danville,KY
SAA,Hendrix,Conway,AR
SAA,Millsaps,Jackson,MS
SAA,Oglethorpe,Atlanta,GA
SAA,Rhodes,Memphis,TN
SAA,Sewanee,Sewanee,TN
SCAC,Centenary (LA),Shreveport,LA
SCAC,Colorado College,Colorado Springs,CO
SCAC,Concordia (TX),Austin,TX
SCAC,Schreiner,Kerrville,TX
SCAC,Southwestern (TX),Georgetown,TX
SCAC,Texas Lutheran,Seguin,TX
SCAC,Trinity (TX),San Antonio,TX
SCIAC,Cal Lutheran,Thousand Oaks,CA
SCIAC,Chapman,Orange,CA
SCIAC,Claremont-Mudd-Scripps,Claremont,CA
SCIAC,La Verne,La Verne,CA
SCIAC,Occidental,Los Angeles,CA
SCIAC,Pomona-Pitzer,Claremont,CA
SCIAC,Redlands,Redlands,CA
SCIAC,Whittier,Whittier,CA
Skyline,Farmingdale State,Farmingdale,NY
Skyline,Merchant Marine,Kings Point,NY
Skyline,Mount St. Mary (NY),Newburgh,NY
Skyline,Mount St. Vincent,Bronx,NY
Skyline,Old Westbury,Old Westbury,NY
Skyline,Pratt,Brooklyn,NY
Skyline,Purchase,Purchase,NY
Skyline,St. Joseph's (LI),Patchogue,NY
Skyline,SUNY Maritime,Throggs Neck,NY
Skyline,Yeshiva,New York,NY
SLIAC,Eureka,Eureka,IL
SLIAC,Fontbonne,St. Louis,MO
SLIAC,Greenville,Greenville,IL
SLIAC,Spalding,Louisville,KY
SLIAC,Webster,Webster Groves,MO
SLIAC,Westminster (MO),Fulton,MO
SUNYAC,Brockport,Brockport,NY
SUNYAC,Buffalo State,Buffalo,NY
SUNYAC,Cortland,Cortland,NY
SUNYAC,Fredonia,Fredonia,NY
SUNYAC,Oneonta,Oneonta,NY
SUNYAC,Oswego,Oswego,NY
SUNYAC,Plattsburgh,Plattsburgh,NY
SUNYAC,SUNY Cortland,Cortland,NY
SUNYAC,SUNY Geneseo,Geneseo,NY
SUNYAC,SUNY New Paltz,New Paltz,NY
UAA,Brandeis,Waltham,MA
UAA,Carnegie Mellon,Pittsburgh,PA
UAA,Case Western Reserve,Cleveland,OH
UAA,Emory,Atlanta,GA
UAA,NYU,New York,NY
UAA,Rochester,Rochester,NY
UAA,Washington (MO),St. Louis,MO
UMAC,Crown,St. Bonifacius,MN
UMAC,Martin Luther,New Ulm,MN
UMAC,St. Scholastica,Duluth,MN
USA South,Agnes Scott,Decatur,GA
USA South,Averett,Danville,VA
USA South,Berea,Berea,KY
USA South,Covenant,Lookout Mountain,GA
USA South,Ferrum,Ferrum,VA
USA South,Greensboro,Greensboro,NC
USA South,LaGrange,LaGrange,GA
USA South,Methodist,Fayetteville,NC
USA South,North Carolina Wesleyan,Rocky Mount,NC
USA South,Pfeiffer,Misenheimer,NC
USA South,Piedmont,Demorest,GA
USA South,Southern Virginia,Buena Vista,VA
USA South,Wesleyan (GA),Macon,GA
USA South,William Peace,Raleigh,NC
WIAC,Wisconsin-Eau Claire,Eau Claire,WI
WIAC,Wisconsin-La Crosse,La Crosse,WI
WIAC,Wisconsin-Oshkosh,Oshkosh,WI
WIAC,Wisconsin-Platteville,Platteville,WI
WIAC,Wisconsin-Stevens Point,Stevens Point,WI
WIAC,Wisconsin-Stout,Menomonie,WI
WIAC,Wisconsin-Superior,Superior,WI
WIAC,Wisconsin-Whitewater,Whitewater,WI
