Conference,School Name,City,State
Big East,Seton Hall,South Orange,NJ
Big East,St. John's,Queens,NY
Big East,Villanova,Villanova,PA
Big East,Xavier,Cincinnati,OH
Big South,Charleston Southern,Charleston,SC
Big South,Gardner-Webb,Boiling Springs,NC
Big South,High Point,High Point,NC
Big South,Longwood,Farmville,VA
Big South,Presbyterian,Clinton,SC
Big South,Radford,Radford,VA
Big South,UNC Asheville,Asheville,NC
Big South,USC Upstate,Spartanburg,SC
Big South,Winthrop,Rock Hill,SC
Big Ten,Illinois,Champaign,IL
Big Ten,Indiana,Bloomington,IN
Big Ten,Iowa,Iowa City,IA
Big Ten,Maryland,College Park,MD
Big Ten,Michigan,Ann Arbor,MI
Big Ten,Michigan State,East Lansing,MI
Big Ten,Minnesota,Minneapolis,MN
Big Ten,Nebraska,Lincoln,NE
Big Ten,Northwestern,Evanston,IL
Big Ten,Ohio State,Columbus,OH
Big Ten,Oregon,Eugene,OR
Big Ten,Penn State,University Park,PA
Big Ten,Purdue,West Lafayette,IN
Big Ten,Rutgers,Piscataway,NJ
Big Ten,UCLA,Los Angeles,CA
Big Ten,USC,Los Angeles,CA
Big Ten,Washington,Seattle,WA
Big West,Cal Poly,San Luis Obispo,CA
Big West,Cal State Bakersfield,Bakersfield,CA
Big West,Cal State Fullerton,Fullerton,CA
Big West,Cal State Northridge,Northridge,CA
Big West,Hawai'i,Honolulu,HI
Big West,Long Beach State,Long Beach,CA
Big West,UC Davis,Davis,CA
Big West,UC Irvine,Irvine,CA
Big West,UC Riverside,Riverside,CA
Big West,UC San Diego,La Jolla,CA
Big West,UC Santa Barbara,Santa Barbara,CA
CAA,Campbell,Buies Creek,NC
CAA,Charleston,Charleston,SC
CAA,Delaware,Newark,DE
CAA,Elon,Elon,NC
CAA,Hampton,Hampton,VA
CAA,Hofstra,Hempstead,NY
CAA,Monmouth,West Long Branch,NJ
CAA,NC A&T,Greensboro,NC
CAA,Northeastern,Boston,MA
CAA,Stony Brook,Stony Brook,NY
CAA,Towson,Towson,MD
CAA,UNC Wilmington,Wilmington,NC
CAA,William & Mary,Williamsburg,VA
Conference USA,FIU,Miami,FL
Conference USA,Jacksonville State,Jacksonville,AL
Conference USA,Kennesaw State,Kennesaw,GA
Conference USA,Liberty,Lynchburg,VA
Conference USA,Louisiana Tech,Ruston,LA
Conference USA,Middle Tennessee,Murfreesboro,TN
Conference USA,New Mexico State,Las Cruces,NM
Conference USA,Sam Houston,Huntsville,TX
Conference USA,Western Kentucky,Bowling Green,KY
Horizon,Milwaukee,Milwaukee,WI
Horizon,Northern Kentucky,Highland Heights,KY
Horizon,Oakland,Rochester,MI
Horizon,Wright State,Dayton,OH
Horizon,Youngstown State,Youngstown,OH
Independent,Oregon State,Corvallis,OR
Ivy League,Brown,Providence,RI
Ivy League,Columbia,New York,NY
Ivy League,Cornell,Ithaca,NY
Ivy League,Dartmouth,Hanover,NH
Ivy League,Harvard,Cambridge,MA
Ivy League,Penn,Philadelphia,PA
Ivy League,Princeton,Princeton,NJ
Ivy League,Yale,New Haven,CT
MAAC,Canisius,Buffalo,NY
MAAC,Fairfield,Fairfield,CT
MAAC,Iona,New Rochelle,NY
MAAC,Manhattan,Bronx,NY
MAAC,Marist,Poughkeepsie,NY
MAAC,Niagara,Niagara University,NY
MAAC,Quinnipiac,Hamden,CT
MAAC,Rider,Lawrenceville,NJ
MAAC,Saint Peter's,Jersey City,NJ
MAAC,Siena,Loudonville,NY
MAC,Akron,Akron,OH
MAC,Ball State,Muncie,IN
MAC,Bowling Green,Bowling Green,OH
MAC,Central Michigan,Mt. Pleasant,MI
MAC,Eastern Michigan,Ypsilanti,MI
MAC,Kent State,Kent,OH
MAC,Miami (OH),Oxford,OH
MAC,Northern Illinois,DeKalb,IL
MAC,Ohio,Athens,OH
MAC,Toledo,Toledo,OH
MAC,Western Michigan,Kalamazoo,MI
MEAC,Coppin State,Baltimore,MD
MEAC,Delaware State,Dover,DE
MEAC,Maryland Eastern Shore,Princess Anne,MD
MEAC,Norfolk State,Norfolk,VA
Missouri Valley,Belmont,Nashville,TN
Missouri Valley,Bradley,Peoria,IL
Missouri Valley,Dallas Baptist,Dallas,TX
Missouri Valley,Evansville,Evansville,IN
Missouri Valley,Illinois State,Normal,IL
Missouri Valley,Indiana State,Terre Haute,IN
Missouri Valley,Missouri State,Springfield,MO
Missouri Valley,Southern Illinois,Carbondale,IL
Missouri Valley,UIC,Chicago,IL
Missouri Valley,Valparaiso,Valparaiso,IN
Mountain West,Air Force,USAF Academy,CO
Mountain West,Fresno State,Fresno,CA
Mountain West,Nevada,Reno,NV
Mountain West,New Mexico,Albuquerque,NM
Mountain West,San Diego State,San Diego,CA
Mountain West,San Jose State,San Jose,CA
Mountain West,UNLV,Las Vegas,NV
Mountain West,Washington State,Pullman,WA
NEC,Central Connecticut,New Britain,CT
NEC,Fairleigh Dickinson,Teaneck,NJ
NEC,Le Moyne,Syracuse,NY
NEC,LIU,Brooklyn,NY
NEC,Merrimack,North Andover,MA
NEC,Mount St. Mary's,Emmitsburg,MD
NEC,Sacred Heart,Fairfield,CT
NEC,Stonehill,Easton,MA
NEC,Wagner,Staten Island,NY
Northeast,Mercyhurst,Erie,PA
Northeast,New Haven,West Haven,CT
Ohio Valley,Lindenwood,St. Charles,MO
Ohio Valley,Little Rock,Little Rock,AR
Ohio Valley,Morehead State,Morehead,KY
Ohio Valley,Murray State,Murray,KY
Ohio Valley,SE Missouri State,Cape Girardeau,MO
Ohio Valley,SIU Edwardsville,Edwardsville,IL
Ohio Valley,Southern Indiana,Evansville,IN
Ohio Valley,Tennessee State,Nashville,TN
Ohio Valley,Tennessee Tech,Cookeville,TN
Ohio Valley,UT Martin,Martin,TN
OVC,Eastern Illinois,Charleston,IL
Patriot,Army,West Point,NY
Patriot,Bucknell,Lewisburg,PA
Patriot,Holy Cross,Worcester,MA
Patriot,Lafayette,Easton,PA
Patriot,Lehigh,Bethlehem,PA
SEC,Alabama,Tuscaloosa,AL
SEC,Arkansas,Fayetteville,AR
SEC,Auburn,Auburn,AL
SEC,Florida,Gainesville,FL
SEC,Georgia,Athens,GA
SEC,Kentucky,Lexington,KY
SEC,LSU,Baton Rouge,LA
SEC,Mississippi State,Starkville,MS
SEC,Missouri,Columbia,MO
SEC,Oklahoma,Norman,OK
SEC,Ole Miss,Oxford,MS
SEC,South Carolina,Columbia,SC
SEC,Tennessee,Knoxville,TN
SEC,Texas,Austin,TX
SEC,Texas A&M,College Station,TX
SEC,Vanderbilt,Nashville,TN
Southern,ETSU,Johnson City,TN
Southern,Mercer,Macon,GA
Southern,Samford,Birmingham,AL
Southern,The Citadel,Charleston,SC
Southern,UNC Greensboro,Greensboro,NC
Southern,VMI,Lexington,VA
Southern,Western Carolina,Cullowhee,NC
Southern,Wofford,Spartanburg,SC
Southland,Houston Christian,Houston,TX
Southland,Incarnate Word,San Antonio,TX
Southland,Lamar,Beaumont,TX
Southland,McNeese,Lake Charles,LA
Southland,New Orleans,New Orleans,LA
Southland,Nicholls,Thibodaux,LA
Southland,Northwestern State,Natchitoches,LA
Southland,Southeastern Louisiana,Hammond,LA
Southland,Texas A&M-Corpus Christi,Corpus Christi,TX
Summit,North Dakota State,Fargo,ND
Summit,Northern Colorado,Greeley,CO
Summit,Omaha,Omaha,NE
Summit,Oral Roberts,Tulsa,OK
Summit,South Dakota State,Brookings,SD
Summit,St. Thomas,St. Paul,MN
Summit,Western Illinois,Macomb,IL
Sun Belt,Appalachian State,Boone,NC
Sun Belt,Arkansas State,Jonesboro,AR
Sun Belt,Coastal Carolina,Conway,SC
Sun Belt,Georgia Southern,Statesboro,GA
Sun Belt,Georgia State,Atlanta,GA
Sun Belt,James Madison,Harrisonburg,VA
Sun Belt,Louisiana,Lafayette,LA
Sun Belt,Louisiana-Monroe,Monroe,LA
Sun Belt,Marshall,Huntington,WV
Sun Belt,Old Dominion,Norfolk,VA
Sun Belt,South Alabama,Mobile,AL
Sun Belt,Southern Miss,Hattiesburg,MS
Sun Belt,Texas State,San Marcos,TX
Sun Belt,Troy,Troy,AL
SWAC,Alabama A&M,Huntsville,AL
SWAC,Alabama State,Montgomery,AL
SWAC,Alcorn State,Lorman,MS
SWAC,Arkansas-Pine Bluff,Pine Bluff,AR
SWAC,Bethune-Cookman,Daytona Beach,FL
SWAC,Florida A&M,Tallahassee,FL
SWAC,Grambling State,Grambling,LA
SWAC,Jackson State,Jackson,MS
SWAC,Mississippi Valley State,Itta Bena,MS
SWAC,Prairie View A&M,Prairie View,TX
SWAC,Southern,Baton Rouge,LA
SWAC,Texas Southern,Houston,TX
WAC,Abilene Christian,Abilene,TX
WAC,California Baptist,Riverside,CA
WAC,Grand Canyon,Phoenix,AZ
WAC,Sacramento State,Sacramento,CA
WAC,Stephen F. Austin,Nacogdoches,TX
WAC,Tarleton State,Stephenville,TX
WAC,UT Arlington,Arlington,TX
WAC,Utah Tech,St. George,UT
WAC,Utah Valley,Orem,UT
WAC,UTRGV,Edinburg,TX
West Coast,Gonzaga,Spokane,WA
West Coast,LMU,Los Angeles,CA
West Coast,Pacific,Stockton,CA
West Coast,Pepperdine,Malibu,CA
West Coast,Portland,Portland,OR
West Coast,Saint Mary's,Moraga,CA
West Coast,San Diego,San Diego,CA
West Coast,San Francisco,San Francisco,CA
West Coast,Santa Clara,Santa Clara,CA
West Coast,Seattle U,Seattle,WA
